Date,Close,bearish,SMA_short,SMA_long,signal,returns,strategy_returns,equity
2005-08-05,43.599998474121094,False,42.88899984359741,42.70959996541341,0,,,
2005-08-08,43.349998474121094,False,42.90724983215332,42.711799952189125,0,-0.005733945154800635,-0.0,1.0
2005-08-09,43.34000015258789,False,42.921249866485596,42.7157999420166,0,-0.00023064179665821527,-0.0,1.0
2005-08-10,43.650001525878906,False,42.947499942779544,42.72233329772949,0,0.007152777392699372,0.0,1.0
2005-08-11,44.45000076293945,False,42.990249919891355,42.737666625976566,0,0.01832758783722488,0.0,1.0
2005-08-12,44.4900016784668,False,43.015999984741214,42.75533330281576,0,0.0008999080954052996,0.0,1.0
2005-08-15,44.130001068115234,False,43.02849998474121,42.76986663818359,0,-0.008091719414922038,-0.0,1.0
2005-08-16,44.54999923706055,False,43.050749969482425,42.78546663920085,0,0.009517293423515705,0.0,1.0
2005-08-17,43.90999984741211,False,43.05324993133545,42.79419998168945,0,-0.014365867578198133,-0.0,1.0
2005-08-18,43.83000183105469,False,43.05599994659424,42.80240000406901,0,-0.0018218632802418089,-0.0,1.0
2005-08-19,43.599998474121094,False,43.045499897003175,42.81093332926432,0,-0.00524762371263765,-0.0,1.0
2005-08-22,43.70000076293945,False,43.04049987792969,42.82013333638509,0,0.00229363055775611,0.0,1.0
2005-08-23,43.7599983215332,False,43.036749839782715,42.83013333638509,0,0.0013729418202810262,0.0,1.0
2005-08-24,43.59000015258789,False,43.040249824523926,42.839066670735676,0,-0.0038847846313024847,-0.0,1.0
2005-08-25,43.72999954223633,False,43.04274978637695,42.84566665649414,0,0.0032117317999167394,0.0,1.0
2005-08-26,43.61000061035156,False,43.046999835968016,42.851266657511395,0,-0.0027440871973681835,-0.0,1.0
2005-08-29,43.56999969482422,False,43.068749809265135,42.86013331095378,0,-0.0009172418015938044,-0.0,1.0
2005-08-30,43.0099983215332,False,43.08699979782104,42.86226664225261,0,-0.012852912031521946,-0.0,1.0
2005-08-31,43.400001525878906,False,43.11574983596802,42.8674666595459,0,0.009067733540236933,0.0,1.0
2005-09-01,44.220001220703125,False,43.162249851226804,42.87766667683919,0,0.018894001520605164,0.0,1.0
2005-09-02,44.25,False,43.21199989318848,42.8912000020345,0,0.0006783984276064192,0.0,1.0
2005-09-06,44.27000045776367,False,43.25524988174438,42.90566668192545,0,0.00045198774607158043,0.0,1.0
2005-09-07,44.33000183105469,False,43.29749994277954,42.920133361816404,0,0.0013553506363357393,0.0,1.0
2005-09-08,44.599998474121094,False,43.353749942779544,42.93960001627604,0,0.006090607532464931,0.0,1.0
2005-09-09,44.84000015258789,False,43.427249908447266,42.96206667582194,0,0.00538120373717188,0.0,1.0
2005-09-12,44.88999938964844,False,43.49824991226196,42.98620000203451,0,0.0011150588066548561,0.0,1.0
2005-09-13,44.560001373291016,False,43.56199998855591,43.008200022379555,0,-0.007351259096553209,-0.0,1.0
2005-09-14,44.959999084472656,False,43.63874998092651,43.0325333404541,0,0.008976609040712402,0.0,1.0
2005-09-15,45.41999816894531,False,43.71924991607666,43.05699999491374,0,0.010231296571167503,0.0,1.0
2005-09-16,45.81999969482422,False,43.80324993133545,43.08193331400553,0,0.008806727036646977,0.0,1.0
2005-09-19,46.25,False,43.89824991226196,43.106599985758464,0,0.009384554955035318,0.0,1.0
2005-09-20,46.22999954223633,False,43.99124994277954,43.13093330383301,0,-0.00043244233002537324,-0.0,1.0
2005-09-21,47.060001373291016,False,44.11149997711182,43.16119997660319,0,0.017953749497582994,0.0,1.0
2005-09-22,46.36000061035156,False,44.209500026702884,43.18539998372396,0,-0.014874643912287211,-0.0,1.0
2005-09-23,46.279998779296875,False,44.2977499961853,43.20893330891927,0,-0.0017256650129728879,-0.0,1.0
2005-09-26,46.56999969482422,False,44.3914999961853,43.228933308919274,0,0.006266225652042934,0.0,1.0
2005-09-27,46.25,False,44.46949996948242,43.247799987792966,0,-0.0068713699145629414,-0.0,1.0
2005-09-28,46.79999923706055,False,44.560999965667726,43.270933303833004,0,0.01189187539590364,0.0,1.0
2005-09-29,47.099998474121094,False,44.65024995803833,43.294933293660485,0,0.0064102402126318125,0.0,1.0
2005-09-30,46.70000076293945,False,44.72574996948242,43.3160666402181,0,-0.008492520682382154,-0.0,1.0
2005-10-03,46.41999816894531,False,44.79624996185303,43.33739995320638,0,-0.005995772792713683,-0.0,1.0
2005-10-04,46.45000076293945,False,44.87375001907348,43.358733291625974,0,0.0006463290645757347,0.0,1.0
2005-10-05,46.36000061035156,False,44.949250030517575,43.38133328755696,0,-0.0019375705298092516,-0.0,1.0
2005-10-06,47.209999084472656,False,45.03824996948242,43.40686660766602,0,0.01833473819953535,0.0,1.0
2005-10-07,47.36000061035156,False,45.11099996566772,43.43279993693034,0,0.0031773253291216275,0.0,1.0
2005-10-10,47.369998931884766,False,45.18299989700317,43.45506660461426,0,0.00021111320532840594,0.0,1.0
2005-10-11,47.38999938964844,False,45.26449985504151,43.47753326416016,0,0.0004222178217152539,0.0,1.0
2005-10-12,46.849998474121094,False,45.321999835968015,43.49519991556804,0,-0.01139482849719764,-0.0,1.0
2005-10-13,47.02000045776367,False,45.39974985122681,43.51246658325195,0,0.003628644379497281,0.0,1.0
2005-10-14,46.79999923706055,False,45.47399978637695,43.53093325297038,0,-0.004678885975357261,-0.0,1.0
2005-10-17,47.2599983215332,True,45.565499782562256,43.55226656595866,1,0.00982904042674404,0.0,1.0
2005-10-18,47.0,True,45.64799976348877,43.57019989013672,1,-0.005501445847803543,-0.005501445847803543,0.9944985541521965
2005-10-19,46.34000015258789,True,45.71249980926514,43.58699989318848,1,-0.014042549944938476,-0.014042549944938476,0.9805332585353451
2005-10-20,45.97999954223633,True,45.77224979400635,43.60093322753906,1,-0.007768679524517874,-0.007768679524517874,0.9729158098866528
2005-10-21,46.52000045776367,True,45.84199981689453,43.623799896240236,1,0.0117442566529673,0.0117442566529673,0.9843419828596912
2005-10-24,46.38999938964844,False,45.91149978637695,43.64873321533203,1,-0.0027945199233878615,-0.0027945199233878615,0.9815912195771627
2005-10-25,47.060001373291016,True,45.998749828338624,43.67966657002767,1,0.014442810788052762,0.014442810788052762,0.9957681558327296
2005-10-26,46.93000030517578,True,46.09674987792969,43.70993324279785,1,-0.0027624535554947593,-0.0027624535554947593,0.993017392550201
2005-10-27,47.18000030517578,True,46.19124984741211,43.740866572062174,1,0.005327082854768905,0.005327082854768905,0.9983072784765425
2005-10-28,47.220001220703125,True,46.26624984741211,43.771933237711586,1,0.0008478362710597764,0.0008478362710597764,0.9991536795968979
2005-10-31,46.400001525878906,False,46.319999885559085,43.79719991048177,1,-0.017365516171666262,-0.017365516171666262,0.9818028602158781
2005-11-01,45.72999954223633,False,46.3564998626709,43.81659990946452,1,-0.014439697448477284,-0.014439697448477284,0.9676259239603112
2005-11-02,46.130001068115234,False,46.40149984359741,43.83999992370605,1,0.00874702667577032,0.00874702667577032,0.976089773729359
2005-11-03,45.959999084472656,False,46.435499858856204,43.863733240763345,1,-0.003685280288451609,-0.003685280288451609,0.972492609326475
2005-11-04,45.5099983215332,False,46.45224981307983,43.88413322448731,1,-0.009791139510520241,-0.009791139510520241,0.9629707985156096
2005-11-07,45.77000045776367,False,46.474249839782715,43.90506655375163,1,0.0057130772537832275,0.0057130772537832275,0.9684723250806666
2005-11-08,45.90999984741211,False,46.50799980163574,43.927333221435546,1,0.0030587587556969442,0.0030587587556969442,0.9714346482846573
2005-11-09,46.560001373291016,False,46.5479998588562,43.953133239746094,1,0.014158168765830315,0.014158168765830315,0.9851883839800465
2005-11-10,46.47999954223633,False,46.574499893188474,43.97779991149903,1,-0.001718252334515169,-0.001718252334515169,0.9834955817393356
2005-11-11,46.79999923706055,False,46.59899988174438,44.00419990539551,1,0.006884675085537362,0.006884675085537362,0.9902666292676725
2005-11-14,46.619998931884766,False,46.60824985504151,44.02899988810221,1,-0.003846160429704426,-0.003846160429704426,0.9864579049433264
2005-11-15,46.65999984741211,False,46.6189998626709,44.05799987792969,1,0.0008580205157402432,0.0008580205157402432,0.9873043060636819
2005-11-16,47.779998779296875,False,46.63699979782105,44.09386652628581,1,0.024003406248336745,0.024003406248336745,1.0110029724128606
2005-11-17,48.47999954223633,False,46.68999977111817,44.13246653238932,1,0.014650497715013922,0.014650497715013922,1.0258146691500676
